accident_year,number_of_vehicles,number_of_casualties,first_road_class,road_type,speed_limit,junction_detail,second_road_class,pedestrian_crossing_physical_facilities,light_conditions,urban_or_rural_area,trunk_road_flag,casualty_class,sex_of_casualty,age_band_of_casualty,casualty_severity,car_passenger,casualty_type,Hour,Month,Day,high_winds,pedestrian_in_carriageway
2019,1,2,B,Single carriageway,30,Other,B,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Female,46 - 55,0,Not car passenger,Pedestrian,11,2,4,False,False
2021,2,3,B,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,Over 75,0,Not car passenger,Car occupant,13,3,10,False,False
2021,2,3,B,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,Over 75,0,Not car passenger,Car occupant,13,3,10,False,False
2021,2,3,B,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,Over 75,0,Not car passenger,Car occupant,13,3,10,False,False
2022,2,1,A,Single carriageway,40,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,56 - 65,0,Not car passenger,Motorcycle,19,6,22,False,False
2022,1,1,A,Single carriageway,50,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Non-trunk,Driver or rider,Male,16 - 20,1,Not car passenger,Car occupant,21,11,28,False,False
2023,1,1,A,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Pedestrian,Male,11 - 15,1,Not car passenger,Pedestrian,17,1,4,False,True
2022,3,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,1,3,18,False,False
2019,2,2,A,Dual carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,Pedestrian phase at traffic signal junction,Daylight,Urban,Non-trunk,Passenger,Male,46 - 55,1,Front seat passenger,Car occupant,13,11,17,False,False
2019,2,2,A,Dual carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,Pedestrian phase at traffic signal junction,Daylight,Urban,Non-trunk,Passenger,Male,46 - 55,1,Front seat passenger,Car occupant,13,11,17,False,False
2022,2,1,A,Dual carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,21 - 25,0,Not car passenger,Large Vehicle,15,12,20,False,False
2019,2,1,A,Roundabout,40,Roundabout,A,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Urban,Non-trunk,Driver or rider,Female,46 - 55,0,Not car passenger,Motorcycle,14,6,30,False,False
2023,2,1,A,Dual carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,56 - 65,0,Not car passenger,Car occupant,12,11,1,False,False
